text,label
"商品质量很差，用了两天就坏了",0
"物流太慢，等了一个多星期才收到",0
"客服态度恶劣，完全不解决问题",0
"包装简陋，商品有划痕",0
"价格虚高，性价比很低",0
"与描述不符，颜色差别很大",0
"售后服务差，退货很麻烦",0
"材质廉价，做工粗糙",0
"发货错误，收到的不是我要的商品",0
"使用效果不好，没有宣传的那么神奇",0
"质量太差，完全不值这个价",0
"物流超级慢，等得着急",0
"客服根本不回复消息",0
"包装破损，商品有损坏",0
"价格太贵，完全不值得",0
"和图片完全不一样",0
"退货流程复杂，客服推诿",0
"用了一次就坏了，质量堪忧",0
"发错货了，耽误事情",0
"效果很差，完全没有用",0
"商品一般，没有特别突出的地方",1
"中规中矩，符合预期，没什么惊喜",1
"普普通通，价格还算合理",1
"没什么特别的感觉，用着还行",1
"正常商品，没有特别不满意的地方",1
"马马虎虎，勉强可以接受",1
"一般般，没什么好说的",1
"还可以，对得起这个价格",1
"没什么亮点，但也没什么大问题",1
"就那样吧，不算好也不算差",1
"一般般，没什么特别",1
"还行吧，没什么大问题",1
"中规中矩，没什么惊喜",1
"普普通通，没什么好评价的",1
"马马虎虎，勉强能用",1
"一般水平，没什么特别",1
"还可以，没什么大毛病",1
"正常水平，符合预期",1
"没什么特别，但也没问题",1
"就那样，不好不坏",1
"商品质量很好，物流很快",2
"性价比高，使用效果很棒",2
"卖家服务态度很好，解决问题及时",2
"产品外观漂亮，功能齐全",2
"发货速度快，正品保证",2
"使用方便，效果明显",2
"材质很好，做工精细",2
"客服耐心解答，物流给力",2
"比实体店便宜，质量一样好",2
"设计人性化，操作简单",2
"质量非常好，超出预期",2
"物流超快，第二天就收到了",2
"客服很专业，解决问题迅速",2
"包装精美，商品完好无损",2
"价格实惠，物超所值",2
"和描述一模一样，很满意",2
"售后服务很好，处理问题及时",2
"耐用，用了很久都没问题",2
"发货准确，包装仔细",2
"效果明显，非常满意",2
