text,label
商品质量差到令人难以置信，才用了三天就出现严重故障，联系客服却被告知是正常现象，这种推诿的态度实在让人失望透顶,0
物流速度慢如蜗牛，承诺的次日达变成了一周后才收到，期间多次催促客服都得不到明确答复，包装还破损严重,0
这家店的客服态度恶劣到极点，不仅不解决问题，还出言不逊，完全没有职业素养，购物体验糟透了,0
包装简陋得令人发指，商品在运输过程中受损严重，打开盒子发现内部零件散落一地，质量检验形同虚设,0
价格虚高得离谱，比市场价高出两倍还不止，所谓的优惠活动都是噱头，性价比低到令人发指,0
实物与描述天差地别，颜色偏差严重，尺寸完全不对，材质廉价，完全就是虚假宣传,0
售后服务体系形同虚设，退货流程复杂到令人崩溃，客服推诿责任，还要消费者承担高额运费,1
商品表现中规中矩，没有特别突出的优点，但也没有明显的缺陷，日常使用还算过得去,1
整体来说还算可以，价格适中，功能基本满足需求，但也没有什么惊喜，属于可买可不买的类型,1
性能表现平平，没有达到预期但也不至于太差，属于这个价位段比较常见的水平，无功无过,1
使用体验马马虎虎，某些功能还不错，但有些细节处理得不够好，总体而言可以接受,1
表现一般般，没有特别让人印象深刻的地方，但也没有明显的硬伤，属于中庸之选,1
符合基本预期，质量对得起价格，虽然有些小瑕疵但都在可接受范围内，总体满意,2
商品质量超出预期，做工精细，用料扎实，使用体验极佳，完全物超所值，强烈推荐,2
物流服务令人惊喜，下单后立即发货，隔天就送达，包装完好无损，配送员服务态度也很好,2
客服团队专业高效，耐心解答所有疑问，主动跟进订单状态，售后保障完善，服务体验很棒,2
包装设计精心周到，多层防护确保商品安全，开箱体验愉悦，细节处体现品牌用心,2
性价比极高，功能丰富实用，质量可靠耐用，相比同类产品具有明显优势，物超所值,2
实物比图片展示的还要精致，每个细节都处理得很完美，完全符合甚至超出预期，非常满意,2
使用效果令人惊艳，操作简单便捷，性能稳定出色，完全满足甚至超出了所有使用需求,2
商品存在严重设计缺陷，使用过程中频繁出现故障，维修成本高昂，完全不建议购买,0
物流信息长期不更新，客服无法提供准确送达时间，包装严重破损导致商品损坏,0
客服专业知识匮乏，解决问题效率低下，态度敷衍，多次沟通仍无法解决实际问题,0
价格体系混乱，虚假促销活动频发，实际支付金额远高于宣传价格，存在欺诈嫌疑,0
商品存在安全隐患，使用过程中出现异常发热现象，厂家拒不承认质量问题,0
售后服务形同虚设，投诉渠道不畅通，维修周期长达数月，消费者权益无法保障,0
性能表现稳定可靠，虽然外观设计较为普通，但核心功能表现令人满意,2
整体表现尚可，某些功能比较突出，但有些方面还有提升空间，总体值得购买,2
使用体验良好，操作界面友好，响应速度快，能够满足日常使用需求,2
品质值得信赖，做工精细，用料考究，细节处理到位，体现了品牌的专业水准,2
